157,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,157
42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,42
42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,157,-1,-1,-1,-1,42
42,-1,-1,137,159,-1,-1,-1,-1,-1,-1,-1,192,136,115,-1,-1,-1,-1,42
42,-1,-1,-1,69,159,-1,-1,-1,-1,-1,192,100,-1,-1,-1,-1,-1,-1,42
42,-1,-1,-1,-1,69,171,-1,-1,-1,137,100,-1,-1,-1,-1,-1,-1,-1,42
42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,42
42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,42
42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,139,108
42,-1,-1,-1,139,126,126,126,126,126,126,126,156,-1,-1,-1,-1,139,6,38
68,126,126,126,6,7,7,7,7,7,7,7,64,126,156,-1,-1,4,7,38
4,7,7,7,7,7,7,7,7,7,7,7,7,7,112,-1,-1,4,7,38
