35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,46
35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,46
35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,199,190,111
80,190,190,190,159,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,138,190,190,103,-1,46
35,-1,-1,-1,69,129,155,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,146,190,103,-1,-1,-1,-1,46
35,-1,-1,-1,-1,33,86,171,-1,-1,-1,-1,-1,-1,-1,124,141,190,190,171,-1,-1,-1,-1,-1,-1,-1,-1,-1,46
35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,146,190,28,101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,46
35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,46
35,-1,-1,-1,-1,-1,-1,-1,124,125,155,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,46
35,-1,-1,-1,-1,-1,124,125,6,7,64,155,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,124,155,-1,-1,-1,-1,-1,46
68,125,125,125,125,125,6,7,7,7,7,64,125,125,125,125,125,125,141,-1,-1,124,6,64,155,-1,124,155,-1,46
33,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,55,-1,-1,33,29,29,55,-1,33,55,-1,119
